Table 1:  Labour Force Survey Summary:  People by economic activity for those aged 16 and over and those aged from 16 to 64 (seasonally adjusted),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
May-Jul 2003,47125448,29741830.184562996,28235665.243562795,1506164.9410002034,17383617.815437004,63.11203701355369,59.9159614218687,5.064129986802068,36.88796298644631,38043693,29205501.54852909,27710108.033417195,1495393.515111891,8838191.451470917,76.7683136033326,72.83758712230485,5.120245966764455,23.231686396667424
Jun-Aug 2003,47155430,29732187.775925543,28228396.601360314,1503791.1745652286,17423242.224074453,63.05146146673998,59.86245189866853,5.057788501466629,36.94853853326002,38068226,29190532.964955375,27696839.95949994,1493693.0054554346,8877693.035044625,76.67951998854734,72.75579366241006,5.117046020532356,23.320480011452663
Jul-Sep 2003,47186051,29757956.52822304,28255599.77072992,1502356.7574931171,17428094.47177696,63.0651556923529,59.88125552343831,5.048588454211403,36.934844307647104,38093015,29214959.69248022,27724161.320864387,1490798.3716158362,8878055.307519777,76.69374475210276,72.78017064510223,5.1028595873762574,23.306255247897223
Aug-Oct 2003,47216308,29757985.61891132,28284903.1470427,1473082.471868617,17458322.381088685,63.024804097159226,59.90494459465721,4.950208964858384,36.97519590284079,38117577,29217500.648596242,27756472.149316527,1461028.4992797128,8900076.35140376,76.65099134867948,72.81803916685608,5.000525256597908,23.349008651320517
Sep-Nov 2003,47246776,29756575.200432576,28295393.43804411,1461181.7623884655,17490200.799567424,62.98117611333433,59.88851691815778,4.910450051950951,37.01882388666567,38142636,29219346.73421496,27772438.530261382,1446908.2039535819,8923289.265785038,76.60547303079672,72.812058742509,4.951884164676743,23.394526969203277
Oct-Dec 2003,47277072,29761522.106860794,28304348.153441265,1457173.9534195252,17515549.893139206,62.95128028838333,59.869080203277534,4.896167434539946,37.04871971161667,38167124,29216104.00554681,27773721.249732144,1442382.7558146666,8951019.994453192,76.54782688249398,72.76870337343769,4.936944212482348,23.452173117506028
Nov-Jan 2004,47306928,29840819.32771969,28399232.461287506,1441586.8664321802,17466108.67228031,63.07917378976645,60.03186776636079,4.830922538018464,36.92082621023354,38191602,29302238.68967662,27873902.57107225,1428336.1186043678,8889363.310323382,76.72429841952328,72.98437643718702,4.874494859355509,23.275701580476728
Dec-Feb 2004,47337558,29874414.8604546,28438291.06762554,1436123.7928290605,17463143.139545396,63.10932824302977,60.07553466874135,4.807203085105737,36.890671756970214,38216450,29339123.799804777,27914779.923405774,1424343.876399004,8877326.200195221,76.77092927209299,73.04388535148026,4.85475941994042,23.22907072790702
Jan-Mar 2004,47367884,29893603.60032291,28459457.07060832,1434146.5297145904,17474280.39967709,63.10943423253382,60.0817572315629,4.79750300060545,36.890565767466185,38241022,29350702.71679476,27929057.799865574,1421644.9169291896,8890319.283205241,76.751878432524,73.03428710630583,4.843648653480826,23.248121567475994
Feb-Apr 2004,47398436,29886865.659715593,28449446.19655855,1437419.463157046,17511570.340284403,63.05453973147045,60.02190915446778,4.809535665342582,36.945460268529544,38265903,29342998.0660546,27918327.495728206,1424670.5703263977,8922904.933945395,76.68183883196119,72.95875781561514,4.855231790287052,23.318161168038802
Mar-May 2004,47428870,29900213.920000076,28465597.902369067,1434616.0176310106,17528656.079999924,63.042222848657524,60.01744908189689,4.798012554256023,36.95777715134247,38290821,29349201.531299815,27927579.071101896,1421622.4601979223,8941619.468700187,76.64813854813876,72.93544077078393,4.843819886145167,23.351861451861236
Apr-Jun 2004,47459466,29907460.607249446,28470351.932489127,1437108.674760325,17552005.392750554,63.016850225936906,59.98877427843189,4.805184544527916,36.9831497740631,38315711,29350209.256148033,27923940.643153064,1426268.6129949687,8965501.743851969,76.60097774552071,72.8785657746324,4.859483625985413,23.39902225447929
May-Jul 2004,47488384,29887112.60971977,28464040.82669855,1423071.783021218,17601271.39028023,62.9356278152564,59.93895439082229,4.761489681537226,37.064372184743604,38339134,29336025.186466355,27921998.42161579,1414026.764850563,9003108.813533645,76.51718264284831,72.82897527527822,4.820103459356514,23.48281735715169
Jun-Aug 2004,47529110,29885016.364830386,28480156.65390276,1404859.7109276243,17644093.635169618,62.87729007513582,59.921502115025426,4.700883191019118,37.12270992486419,38374132,29338302.713747405,27943037.917866737,1395264.7958806744,9035829.286252595,76.45333245256832,72.81738103644074,4.75577885160643,23.546667547431678
Jul-Sep 2004,47569521,29919380.442084864,28518043.80946953,1401336.6326153297,17650140.557915136,62.89611459843134,59.95024379049251,4.683708726281635,37.103885401568654,38408887,29379516.770389218,27987483.25415454,1392033.516234675,9029370.22961078,76.49145566334484,72.86720714962279,4.738108959088347,23.50854433665516
Aug-Oct 2004,47609795,29941114.050637178,28544478.22129467,1396635.8293425085,17668680.949362822,62.88855906780775,59.95505383145353,4.664608761652897,37.11144093219226,38443515,29399576.207377516,28012957.303376645,1386618.9040008713,9043938.792622482,76.47473496473336,72.86783558521286,4.716458816344821,23.525265035266628
Sep-Nov 2004,47650303,30033817.963839445,28626955.583512314,1406862.3803271342,17616485.03616056,63.02964739560931,60.07717429102668,4.684260862275282,36.9703526043907,38478388,29482002.21509403,28088674.12658567,1393328.0885083578,8996385.784905974,76.61963961456502,72.99857293030485,4.726029386820308,23.380360385434997
Oct-Dec 2004,47689379,30096589.353153296,28673352.000316925,1423237.3528363733,17592789.646846708,63.1096273095804,60.12523669120733,4.728899132510033,36.89037269041962,38511881,29538144.98175151,28129493.657754865,1408651.3239966459,8973736.018248493,76.69878545208299,73.04107960282403,4.768922777198441,23.301214547917027
Nov-Jan 2005,47730406,30151657.9894498,28726332.221911587,1425325.7675382122,17578748.010550197,63.17075532407957,60.18455452046979,4.727188694024521,36.829244675920414,38547121,29588974.89134621,28178562.665732034,1410412.2256141757,8958146.108653791,76.7605313282572,73.10160119540973,4.766681612976982,23.239468671742802
Dec-Feb 2005,47770598,30240514.995636515,28793883.896669716,1446631.098966797,17530083.004363485,63.30361406745738,60.275326460576686,4.783751530605664,36.69638593254262,38581700,29665101.31642305,28232014.015721023,1433087.300702028,8916598.683576949,76.88904666311502,73.17462427970001,4.8308862505338865,23.11095333688497
Jan-Mar 2005,47811096,30204969.502719216,28788561.42089032,1416408.081828897,17606126.49728078,63.17564755829738,60.213138433158534,4.689321343964224,36.824352441702615,38616818,29623531.378216162,28220100.20398195,1403431.1742342105,8993286.62178384,76.71147679287341,73.07722817551138,4.73755527764739,23.288523207126595
Feb-Apr 2005,47851061,30178954.73399865,28759234.629662216,1419720.1043364361,17672106.266001347,63.06851740235948,60.101561028421536,4.704338227914252,36.93148259764051,38651001,29592068.61141809,28185164.383641116,1406904.2277769744,9058932.38858191,76.56223084990242,72.9222106916225,4.7543287569768635,23.437769150097584
Mar-May 2005,47891168,30215253.26062364,28779608.409634903,1435644.8509887368,17675914.73937636,63.0914937397719,60.093770128210075,4.751391089147883,36.9085062602281,38685432,29627952.991239727,28202895.198469363,1425057.7927703606,9057479.008760277,76.58684796705832,72.90314141630722,4.80984222295653,23.413152032941696
Apr-Jun 2005,47931556,30239628.61685767,28802170.418248728,1437458.1986089447,17691927.38314233,63.08918620721946,60.09020532996827,4.75355771336294,36.910813792780544,38720028,29651560.17263774,28224857.285253778,1426702.8873839627,9068467.827362264,76.57938721696621,72.89472333350011,4.811560940056418,23.420612783033793
May-Jul 2005,47971890,30278551.208931908,28854918.85720879,1423632.3517231208,17693338.791068092,63.11727807458056,60.14963941843606,4.7017849100493345,36.88272192541943,38754676,29690723.501296297,28279405.844148792,1411317.6571475067,9063952.498703705,76.6119770974122,72.9703064583711,4.753395979339771,23.388022902587817
Jun-Aug 2005,48007525,30326794.683124125,28906493.062272117,1420301.6208520099,17680730.316875875,63.17091889891038,60.21242099498384,4.683322572307193,36.82908110108962,38786928,29737912.96599532,28330267.089613054,1407645.8763822627,9049015.034004683,76.6699362372687,73.04076025204434,4.733505939007476,23.330063762731307
Jul-Sep 2005,48043611,30365202.730615932,28928284.12370615,1436918.6069097812,17678408.26938407,63.20341476958493,60.21255172452826,4.7321225537578835,36.796585230415076,38819236,29777603.95797158,28355528.969628926,1422074.9883426507,9041632.042028425,76.70837199879868,73.04504645487852,4.77565283744717,23.291628001201325
Aug-Oct 2005,48078579,30412998.36697776,28913082.91384332,1499915.453134438,17665580.63302224,63.25685783470797,60.137141145214215,4.931823673008962,36.743142165292035,38850815,29809283.761645745,28322820.264091223,1486463.497554523,9041531.23835425,76.72756353153916,72.90148292665475,4.986579045106371,23.272436468460832
Sep-Nov 2005,48114547,30418104.63541765,28880455.57478059,1537649.0606370615,17696442.36458235,63.22018294262991,60.024373865102774,5.055045602173,36.77981705737009,38883461,29809116.66639962,28289365.999020986,1519750.667378634,9074344.333600381,76.6627144286349,72.75423861837038,5.098274747240913,23.337285571365115
Oct-Dec 2005,48150164,30446886.724294636,28879946.906151243,1566939.8181433957,17703277.275705367,63.23319423023074,59.97891701085638,5.146469760052938,36.76680576976927,38915468,29831800.44104353,28281261.565915115,1550538.8751284168,9083667.558956472,76.65795112895348,72.67357433788312,5.197604074191703,23.342048871046526
Nov-Jan 2006,48186066,30484955.260117143,28934231.732657865,1550723.5274592815,17701110.739882857,63.26508426754975,60.04688519842617,5.086848624928317,36.73491573245024,38947782,29871480.501058474,28337316.83573906,1534163.6653194171,9076301.498941526,76.69623009869593,72.75720305649,5.135880912447761,23.303769901304076
Dec-Feb 2006,48221177,30571701.88326281,28987688.840366572,1584013.0428962368,17649475.11673719,63.39891264633132,60.114021771734386,5.1813047534767485,36.60108735366868,38979375,29955097.685015425,28385151.83317416,1569945.8518412635,9024277.314984577,76.84858386009377,72.82095167809685,5.240997269812292,23.151416139906235
Jan-Mar 2006,48257329,30652507.00182849,29048141.947576344,1604365.0542521523,17604821.99817151,63.518863635881075,60.194259710429364,5.234041881652448,36.481136364118925,39012243,30031175.86570718,28441514.054829434,1589661.8108777506,8981067.13429282,76.97884960294947,72.90407284407982,5.29337185458994,23.021150397050537
Feb-Apr 2006,48292252,30717547.449157827,29084601.88430955,1632945.5648482796,17574704.55084217,63.60761028323514,60.22622818316601,5.316002417025809,36.39238971676485,39043857,30086569.829246514,28467326.143321857,1619243.6859246548,8957287.170753486,77.05839571445648,72.91115256190457,5.381948474400769,22.941604285543526
Mar-May 2006,48328139,30727478.036690682,29063135.545286216,1664342.4914044638,17600660.96330932,63.58092546599132,60.13708813676069,5.416463041376603,36.419074534008686,39075856,30102517.978781853,28451829.73977855,1650688.239003304,8973338.021218149,77.03610633323517,72.81178879300442,5.483555362932805,22.96389366676484
Apr-Jun 2006,48363619,30790506.379464194,29105642.54683549,1684863.8326287055,17573112.620535806,63.664603716823166,60.180861458766124,5.472023785073018,36.335396283176834,39108168,30158239.336431794,28487752.09605276,1670487.2403790362,8949928.663568206,77.11493756606495,72.843483990487,5.539074153977723,22.885062433935044
May-Jul 2006,48399646,30837865.81500478,29140010.090789795,1697855.724214987,17561780.18499521,63.71506480647561,60.20707277650295,5.505749763619703,36.284935193524376,39140498,30211937.28596821,28530938.162456762,1680999.1235114469,8928560.714031786,77.18843354003367,72.89365138495879,5.564022947618718,22.811566459966315
Jun-Aug 2006,48439691,30913671.95718548,29223628.269078277,1690043.6881072042,17526019.04281452,63.81888760848099,60.32992297386512,5.466978139794795,36.18111239151901,39172718,30280168.121306114,28605025.05052466,1675143.070781459,8892549.878693884,77.29912466453341,73.02282433025113,5.532145872079138,22.7008753354666
Jul-Sep 2006,48480772,30876871.08219858,29183471.460831225,1693399.6213673535,17603900.91780142,63.68890141064292,60.19597101471739,5.484362767390793,36.31109858935708,39205914,30226108.76291597,28548548.13555955,1677560.6273564165,8979805.237084035,77.09578907640304,72.81694321820822,5.5500383476903075,22.904210923596974
Aug-Oct 2006,48520374,30880472.803798266,29189422.47010959,1691050.333688675,17639901.19620173,63.64434207328712,60.159104441588994,5.4761154223023345,36.35565792671287,39237847,30236695.78999985,28557016.022920087,1679679.7670797664,9001151.210000144,77.06002775840338,72.77926340586446,5.555103569336717,22.9399722415966
Sep-Nov 2006,48560362,30877050.7736824,29203534.79601559,1673515.9776668078,17683311.2263176,63.58488590690984,60.13862663547606,5.419934662585082,36.41511409309016,39270102,30227897.382523216,28567084.843394447,1660812.5391287692,9042204.617476782,76.97432866999738,72.7451251422633,5.494303881317914,23.025671330002613
Oct-Dec 2006,48601593,30914926.364972588,29214246.82126686,1700679.5437057316,17686666.635027416,63.608874641151345,60.1096487130923,5.5011599368796995,36.39112535884866,39303521,30266835.507012997,28576544.96240647,1690290.5446065252,9036685.492987007,77.0079492547576,72.70734080645465,5.584629236230776,22.99205074524241
Nov-Jan 2007,48641380,30904581.340573296,29201687.401578616,1702893.9389946808,17736798.6594267,63.535576787856954,60.034660615259305,5.51016666502783,36.46442321214304,39335754,30261659.1962294,28570166.44913597,1691492.7470934242,9074094.803770602,76.93168712675343,72.63154647839207,5.589557188933593,23.06831287324657
Dec-Feb 2007,48682257,30883113.910686255,29175388.431731112,1707725.4789551422,17799143.08931374,63.43813087935971,59.93022967635028,5.529641485939119,36.56186912064028,39368974,30238242.041760743,28541933.868981827,1696308.1727789175,9130731.958239254,76.80729002935342,72.49854636542427,5.609810816502557,23.192709970646565
Jan-Mar 2007,48721783,30897609.373673953,29193979.334706604,1703630.038967345,17824173.626326047,63.416417608678145,59.919767991057725,5.513792404984279,36.583582391321855,39400707,30255842.44187955,28566435.895725798,1689406.5461537517,9144864.558120448,76.790100344848,72.50234341156822,5.583736593681186,23.209899655151993
Feb-Apr 2007,48762287,30924338.883473113,29232046.477438584,1692292.4060345308,17837948.116526887,63.41855722122531,59.94806289015645,5.472364057357237,36.58144277877469,39433472,30279831.14594501,28603243.676423788,1676587.4695212177,9153640.854054993,76.78712933506085,72.5354431799051,5.536977605457161,23.212870664939146
Mar-May 2007,48802703,30984091.587023005,29314295.95541625,1669795.631606752,17818611.412976995,63.488474372050675,60.066951528107474,5.389203123534881,36.511525627949325,39466066,30342806.113194507,28688283.686748743,1654522.4264457654,9123259.886805492,76.8832802164637,72.69101431784142,5.452766696242704,23.116719783536297
Apr-Jun 2007,48842722,30979704.241633482,29322143.185113713,1657561.0565197652,17863017.758366518,63.427472862043764,60.0338023444183,5.350474115541027,36.57252713795623,39498460,30336234.083920218,28695985.005733766,1640249.0781864536,9162225.916079782,76.80358698521465,72.65089577095858,5.406897486513895,23.196413014785342
May-Jul 2007,48883495,30996687.834242806,29351896.85396836,1644790.9802744505,17886807.165757194,63.40931194515205,60.04459553059445,5.306344307075962,36.590688054847945,39531494,30344128.8492774,28714680.274448656,1629448.574828742,9187365.150722599,76.7593778501703,72.6374780433258,5.369897362756371,23.240622149829697
Jun-Aug 2007,48922680,31020293.633118562,29375656.75792204,1644636.8751965251,17902386.366881438,63.40677500316533,60.04506858152914,5.301809501379581,36.59322499683467,39557573,30367352.875655845,28736304.8504218,1631048.02523404,9190220.124344157,76.7674823621152,72.64425663935906,5.371057635193415,23.232517637884804
Jul-Sep 2007,48961970,31069470.80326905,29419618.55765876,1649852.2456102925,17892499.19673095,63.456333156670475,60.08667248817554,5.310203884891078,36.543666843329525,39584100,30409024.413989425,28770726.102781776,1638298.3112076512,9175075.586010575,76.82131061206248,72.68253188219961,5.387539859562103,23.178689387937517
Aug-Oct 2007,49001352,31099808.81824772,29470433.943434693,1629374.8748130281,17901543.181752283,63.4672464103597,60.142083311159844,5.239179714368525,36.53275358964031,39610416,30440735.31026394,28823284.295861475,1617451.0144024617,9169680.689736065,76.85032974726631,72.76693154614048,5.313442654774154,23.149670252733685
Sep-Nov 2007,49040301,31159273.786338538,29526722.773159154,1632551.0131793856,17881027.21366146,63.53809652664763,60.20909776463067,5.239374397407044,36.46190347335237,39636205,30488135.100261003,28867010.23848019,1621124.8617808148,9148069.899738993,76.91991476040909,72.82990447365026,5.317231954167432,23.080085239590908
Oct-Dec 2007,49079242,31183896.7783366,29575856.489499748,1608040.288836854,17895345.2216634,63.53785329108506,60.26143698286894,5.156636773996626,36.46214670891494,39662091,30516704.328379318,28917173.129250586,1599531.1991287349,9145386.67162068,76.94174351115103,72.9088467102014,5.2414939107341105,23.05825648884896
Nov-Jan 2008,49118726,31230887.644511864,29614017.081346646,1616870.5631652195,17887838.355488144,63.58244642687162,60.29068645092026,5.177152124426885,36.417553573128394,39688466,30551932.695416346,28945584.90791473,1606347.7875016173,9136533.304583658,76.97937404639511,72.93198207236009,5.257761607149046,23.020625953604902
Dec-Feb 2008,49158006,31297511.34044248,29675909.74942851,1621601.5910139666,17860494.659557525,63.66717018676974,60.36841638659736,5.181247714474159,36.33282981323027,39715062,30609554.542068824,29000336.524815604,1609218.017253223,9105507.45793118,77.07291138578312,73.02100277425126,5.257240888760938,22.927088614216892
Jan-Mar 2008,49196984,31306048.05163393,29683561.392152242,1622486.6594816956,17890935.94836607,63.63407978756164,60.33614050843491,5.182662010885831,36.36592021243836,39740790,30610833.717265554,29001072.17341781,1609761.5438477453,9129956.282734448,77.02623354308143,72.9755804386823,5.258796799578134,22.97376645691857
Feb-Apr 2008,49236531,31373059.487101734,29705812.559519432,1667246.927582305,17863471.512898263,63.719069662120866,60.33287064744556,5.314263112489086,36.28093033787913,39767113,30666308.21171696,29015624.576914594,1650683.6348023727,9100804.788283035,77.1147460760276,72.96386986129617,5.382726943870213,22.885253923972392
Mar-May 2008,49275874,31373321.898100562,29748614.83501459,1624707.0630859714,17902552.101899434,63.66872741435405,60.37156202447995,5.178626185531013,36.331272585645934,39793460,30669905.125374287,29060034.143386163,1609870.9819881278,9123554.874625709,77.07272784365644,73.0271611048302,5.249024982004999,22.92727215634355
Apr-Jun 2008,49314809,31401849.628793262,29721697.310264096,1680152.318529159,17912959.37120674,63.676307919581035,60.269314457375465,5.350488389666635,36.32369208041897,39819557,30693978.564161457,29028370.73365601,1665607.8305054475,9125578.435838541,77.08267212556247,72.89978322374608,5.426497014793074,22.917327874437532
May-Jul 2008,49354393,31419704.928970948,29695790.4200624,1723914.5089085419,17934688.07102905,63.6614149605101,60.16848473865822,5.486730422216614,36.33858503948989,39846119,30713610.782112405,29002931.125400685,1710679.6567117204,9132508.217887586,77.08055778810579,72.7873425399364,5.5697770895371885,22.91944221189418
Jun-Aug 2008,49387171,31405003.47392744,29611885.363931306,1793118.1099961316,17982167.526072565,63.589395460467735,59.95865882646185,5.709657416483923,36.41060453953227,39863273,30699510.774587028,28922880.1717799,1776630.6028071253,9163762.225412972,77.01201748934923,72.55520682353378,5.787162589828029,22.987982510650777
Jul-Sep 2008,49419279,31419960.411196552,29580175.113325864,1839785.2978706807,17999318.588803448,63.57834644086279,59.855537579424954,5.855466632653904,36.42165355913721,39880082,30709284.3449255,28887679.930371296,1821604.4145542015,9170797.6550745,77.00406519957883,72.43636041262728,5.931770972237616,22.99593480042117
Aug-Oct 2008,49452663,31409650.34184198,29535097.050921615,1874553.2909203675,18043012.658158015,63.514578258084875,59.72397694927292,5.968080734802719,36.485421741915125,39897792,30692885.487971567,28838211.76309979,1854673.7248717744,9204906.512028433,76.92878214406342,72.28021982544746,6.042682841268262,23.071217855936574
Sep-Nov 2008,49485256,31497241.50765817,29556106.436337326,1941135.071320841,17988014.49234183,63.64974954895286,59.727096160394375,6.162873249865002,36.35025045104714,39915267,30776687.217008032,28855172.898436382,1921514.3185716504,9138579.782991964,77.10505160095266,72.29106822318482,6.243408541741196,22.894948399047323
Oct-Dec 2008,49517210,31531502.642278202,29528328.850192975,2003173.7920852266,17985707.357721798,63.67786602330422,59.632456776528755,6.3529284183219445,36.322133976695774,39931825,30807144.56885347,28820491.89928156,1986652.669571908,9124680.43114653,77.14935285039807,72.17424172143788,6.448675128367613,22.85064714960193
Nov-Jan 2009,49549890,31596411.681086913,29539079.323595382,2057332.3574915288,17953478.31891309,63.766865438221785,59.614823208679944,6.511284820114602,36.23313456177822,39949060,30882465.43355888,28840894.7604658,2041570.6730930784,9066594.566441122,77.30461100601336,72.19417618453551,6.610776194294954,22.695388993986647
Dec-Feb 2009,49582237,31557722.836700063,29429317.12312717,2128405.713572895,18024514.16329994,63.64723486901178,59.35455700219248,6.744484462920959,36.352765130988224,39966068,30838707.463150665,28728360.222515285,2110347.2406353797,9127360.536849339,77.16222537366114,71.88187795335604,6.843176690064085,22.83777462633887
Jan-Mar 2009,49614984,31600721.964106727,29366018.245031934,2234703.719074792,18014262.035893273,63.691891877072315,59.18780150172363,7.071685645704714,36.30810812292769,39983526,30873016.620990187,28657576.247346148,2215440.3736440376,9110509.379009815,77.21434227934321,71.67345933259149,7.175976357742077,22.78565772065679
Feb-Apr 2009,49647520,31568237.6415762,29271826.517162234,2296411.12441397,18079282.358423796,63.58472214035304,58.959292462467886,7.274435622562395,36.41527785964696,40000553,30837182.239555173,28558735.363385823,2278446.87616935,9163370.760444824,77.09188980351139,71.39585136081949,7.38863511740305,22.908110196488593
Mar-May 2009,49679801,31549816.07934063,29155207.6029957,2394608.4763449226,18129984.92065938,63.50632539639325,58.68624071782354,7.589928481113885,36.49367460360676,40017555,30808572.683786795,28432095.693023697,2376476.990763095,9208982.316213211,76.987643757313,71.04905757741496,7.7136874049791055,23.01235624268702
Apr-Jun 2009,49712262,31535865.535067506,29087482.072181687,2448383.462885813,18176396.464932494,63.43679459821705,58.51168484785843,7.763806134203737,36.56320540178295,40034451,30787507.14504397,28360452.704265356,2427054.440778607,9246943.854956033,76.9025336329552,70.84011893722572,7.883244425553639,23.097466367044806
May-Jul 2009,49745042,31495943.364901584,29017697.47602176,2478245.8888798235,18249098.635098413,63.31473871285822,58.33284345407078,7.868460582900109,36.68526128714177,40051844,30737798.21973172,28282635.112250518,2455163.1074812002,9314045.780268282,76.74502632071501,70.61506359669862,7.987439731142294,23.254973679284983
Jun-Aug 2009,49781876,31559659.67900064,29075863.60107086,2483796.077929775,18222216.320999358,63.39588262804848,58.40652449712995,7.870161158874786,36.6041173719515,40072565,30779601.06187459,28315672.392185904,2463928.6696886886,9292963.938125404,76.80966032964098,70.66099310634571,8.005070191571308,23.19033967035902
Jul-Sep 2009,49819529,31544627.059093572,29069187.595632117,2475439.463461455,18274901.940906428,63.317794632489544,58.34898117088204,7.8474202875314845,36.682205367510456,40093591,30763723.517246194,28312698.04608164,2451025.4711645544,9329867.48275381,76.72977837591598,70.61651835097945,7.967258806595715,23.270221624084034
Aug-Oct 2009,49857122,31567808.703098148,29083933.92915631,2483874.7739418354,18289313.296901852,63.3165482417901,58.33456237035966,7.868378820028966,36.6834517582099,40114806,30778366.55330594,28320873.22548623,2457493.327819706,9336439.446694061,76.72570210935568,70.59955176023095,7.984482618866412,23.27429789064432
Sep-Nov 2009,49893665,31546786.712612934,29092061.29648769,2454725.416125247,18346878.287387062,63.228040498955,58.308126485572245,7.781221708846202,36.771959501044996,40135086,30755066.21862182,28326962.149894334,2428104.0687274802,9380019.781378182,76.62887833010204,70.57904933826312,7.894972657406579,23.37112166989796
Oct-Dec 2009,49931539,31554268.322796512,29101654.14043649,2452614.1823600233,18377270.67720349,63.195064591933594,58.28311068168055,7.772685955732086,36.80493540806641,40156439,30761133.32620395,28331084.741771147,2430048.5844328045,9395305.67379605,76.6032399591108,70.55178558480036,7.899736848651026,23.39676004088921
Nov-Jan 2010,49968447,31491108.957896277,29057114.23899348,2433994.7189028007,18477338.04210372,63.021988571900735,58.150925200844206,7.729148954890919,36.97801142809926,40177176,30700503.449161984,28291301.3504271,2409202.0987348873,9476672.550838012,76.41279578525376,70.41635119010628,7.847435149473584,23.587204214746233
Dec-Feb 2010,50005890,31520476.234484658,29024163.994060695,2496312.2404239606,18485413.765515342,63.03352711947464,58.041490700516874,7.919652678638451,36.96647288052536,40198199,30723329.94076342,28251360.506023854,2471969.4347395636,9474869.05923658,76.42961800543209,70.28016480545274,8.04590335587217,23.570381994567917
Jan-Mar 2010,50042919,31538674.695241414,29012557.192340985,2526117.502900427,18504244.304758593,63.023251491867235,57.97534950417458,8.009586729025015,36.97674850813278,40218713,30732088.453740247,28231550.66097278,2500537.7927674637,9486624.546259755,76.41241144076452,70.19506233571616,8.136569685237697,23.58758855923549
Feb-Apr 2010,50079796,31557140.321695417,29047598.05233167,2509542.269363748,18522655.678304583,63.01371579408075,58.00262854970829,7.952375417358229,36.986284205919254,40239476,30740376.15473575,28253577.953121983,2486798.2016137736,9499099.845264245,76.39357966474452,70.2135831816547,8.089680455099657,23.60642033525547
Mar-May 2010,50117470,31651390.506291743,29143686.59779103,2507703.9085007124,18466079.493708253,63.15440605100725,58.15075381457011,7.922887015034062,36.84559394899274,40260755,30828229.529076822,28342611.657357737,2485617.871719085,9432525.470923178,76.57141434401025,70.3976158851411,8.062797992906727,23.428585655989753
Apr-Jun 2010,50154727,31679509.099613838,29191922.66525341,2487586.4343604315,18475217.900386162,63.163556048493376,58.20373155506042,7.852351583284964,36.83644395150663,40281614,30835334.470209002,28367387.046889313,2467947.423319694,9446279.529790996,76.54940159599613,70.42266739085805,8.003634355593116,23.450598404003863
May-Jul 2010,50192020,31813114.00891564,29325225.930224456,2487888.078691182,18378905.991084363,63.38281266407616,58.42607237211106,7.820322392815586,36.617187335923845,40302615,30931345.29469479,28462305.670967333,2469039.623727462,9371269.705305211,76.74773781972904,70.621486151624,7.982322140223694,23.25226218027096
Jun-Aug 2010,50230466,31815316.72765316,29339442.913697824,2475873.813955332,18415149.272346847,63.33868518690063,58.40965702706764,7.78201843831829,36.66131481309938,40324169,30940702.438587885,28484425.894902498,2456276.543685385,9383466.561412118,76.72991956409042,70.6385936803868,7.938657981539634,23.270080435909588
Jul-Sep 2010,50268233,31855612.343384475,29385322.428071626,2470289.915312855,18412620.65661552,63.37125942617572,58.457042697465866,7.7546458334707395,36.62874057382427,40345170,30977360.16353213,28526213.65012947,2451146.5134026622,9367809.83646787,76.7808393508619,70.7053995562033,7.912703020731432,23.2191606491381
Aug-Oct 2010,50306606,31820846.070625916,29307905.834878422,2512940.235747492,18485759.929374088,63.253812174540094,58.25856316937465,7.897150912235509,36.74618782545991,40366696,30949544.330592815,28454649.185740232,2494895.1448525814,9417151.669407189,76.67098721825738,70.49040918716814,8.061169231452764,23.329012781742627
Sep-Nov 2010,50344412,31785527.83843843,29283658.217925094,2501869.6205133335,18558884.16156157,63.136158663325794,58.16665058661346,7.871096661442908,36.863841336674206,40387860,30889473.787797913,28408296.52103635,2481177.2667615605,9498386.212202087,76.48207601937294,70.33870207789259,8.032436174881314,23.517923980627067
Oct-Dec 2010,50383026,31827057.5907908,29324410.555294417,2502647.035496386,18555968.4092092,63.1701986117126,58.202956200555356,7.863268630338388,36.8298013882874,40409452,30926039.88053429,28444152.409620345,2481887.4709139494,9483412.119465707,76.53169827825008,70.38984940855012,8.02523530494481,23.468301721749917
Nov-Jan 2011,50420201,31915209.19644013,29391159.378537785,2524049.8179023503,18504991.803559866,63.298456895164165,58.2924280260957,7.908611227852727,36.70154310483583,40429925,30993766.35369191,28490509.326061815,2503257.0276300963,9436158.64630809,76.6604596810207,70.4688651439789,8.076646765235468,23.339540318979296
Dec-Feb 2011,50459521,31933656.776474874,29441982.322347827,2491674.4541270514,18525864.223525126,63.28569146836506,58.3477245500365,7.802659343300254,36.71430853163494,40452367,31028025.557074945,28553868.260727298,2474157.296347649,9424341.442925055,76.70262053410853,70.5863967384833,7.97394372322056,23.297379465891463
Jan-Mar 2011,50496738,31924296.87094841,29441076.06741219,2483220.803536227,18572441.12905159,63.220513117002554,58.302926552230346,7.778466706955088,36.779486882997446,40472927,31018316.006955985,28552090.53015867,2466225.4767973176,9454610.993044017,76.63966583626627,70.54614688519727,7.950868371591341,23.36033416373374
